program_id,program_name,currently_in_workbook_inventory,currently_has_methodology_rows,current_methodology_row_count,official_organization,official_website,registry_url,method_source_url,method_source_found,terminology_used,source_type,connector_type,methodunit_count_visible_or_estimated,populated_source_status,extraction_strategy,automation_priority,maintenance_burden,refresh_frequency,login_required,public_metadata_accessible,human_review_required,confidence,evidence_urls,notes,extraction_wave
18,Climate Forward,Yes,Yes,9,Climate Action Reserve (Climate Forward program),https://www.climateforward.org,,https://climateforward.org/program/methodologies/,Yes,Methodology,catalog-first HTML,catalog-first HTML,9,populated,Scrape list of forecast methodologies; parse PDF documents for requirements,Medium,Medium,Annual,No,Yes,Yes,High,"https://climateforward.org/program/methodologies/#:~:text=Methodologies; ; https://climateforward.org/program/methodologies/#:~:text=Forecast%20methodologies%20contain%20the%20eligibility,under%20an%20approved%20forecast%20methodology",Forecast methodologies define rules for pre-purchase emission reductions (FMUs).,Wave 1: automate now
19,ColCX,Yes,Yes,5,,,,,Partial,Certification program / guideline,PDF-first / document-first,single-method / small-standard manual profile,,populated,Manually curate programme and methodology references from ColCX documents; validate whether the 5 workbook rows are direct methods or external references.,Medium,Medium,,,,Yes,Medium,https://colcx.com/documents/Programs/En/CC-PYO-PL-01%20COLCX%20Certification%20Program%20V2.0.pdf,,Wave 3: manual onboarding
20,Covalent,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
21,Credible Carbon,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
22,Credit Climatic,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
23,Economy of Love,Yes,No,0,Economy of Love,https://economyoflove.net,,https://economyoflove.net/methodologies,Yes,Methodology,catalog-first HTML,catalog-first HTML,5,unresolved,"Scrape guidance for afforestation, compost, renewable energy and soil carbon; cross-reference CFT and CDM",Low,Low,Annual,No,Yes,Yes,Medium,"https://eol.global/whole-system-carbon-credit-methodologies/#:~:text=The%20Economy%20of%20Love%20Standard,requirements%20have%20to%20be%20met",Relies on Cool Farm Tool and CDM guidelines; provides requirements for various project types.,Wave 2: semi-automate
24,Ecosystem Restoration Standard,Yes,No,0,,,,,,,,duplicate / naming-cleanup issue,,duplicate-name-risk,Resolve duplicate/alias relationship before ingestion.,Low,Low,,,,Yes,Low,,Name appears to overlap with another programme; normalize before ingestion.,Wave 4: unresolved/monitor
25,Ecosystem Restoration Standard (ERS),Yes,Yes,2,Ecosystem Restoration Standard,https://ecosystemrestorationstandard.org,,ERS M001 Methodology for Terrestrial Forest Restoration (PDF),Yes,Methodology,PDF-first / document-first,single-method / small-standard manual profile,2,populated,Manual PDF extraction of M001 and supporting protocols,Low,Low,Annual,No,Yes,Yes,High,"https://docs.ers.org/standard1.0/m001-methodology-for-terrestrial-forest-restoration.pdf#:~:text=Forest%20Restoration%20SUMMARY%20This%20,Project%20%20risks%20are%20assesseddocs.ers.org/standard1.0/m001-methodology-for-terrestrial-forest-restoration.pdf#:~:text=ECOSYSTEM%20RESTORATION%20STANDARD%20%201,REFERENCES%204%20READING%20NOTES%205",ERS currently offers one main methodology for terrestrial forest restoration; additional modules may be developed.,Wave 2: semi-automate
26,Eko Carbon Exchange,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
27,Emissions Reduction Fund (ERF),Yes,Yes,15,Australian Clean Energy Regulator,https://www.cleanenergyregulator.gov.au,https://www.cleanenergyregulator.gov.au,https://www.cleanenergyregulator.gov.au/ACCU-scheme/Accu-scheme-methods,Yes,Method (Methodology),catalog-first HTML,catalog-first HTML,15,populated,Scrape list of ACCU methods by sector; parse legislative instruments (PDF),Medium,Medium,Annual,No,Yes,Yes,High,"https://cer.gov.au/schemes/australian-carbon-credit-unit-scheme/accu-scheme-methods#:~:text=Australian%20Carbon%20Credit%20Unit%20Scheme,methods","Methods define eligible activities, measurement, monitoring and reporting requirements.",Wave 1: automate now
28,Equitable Earth,Yes,No,0,Equitable Earth,https://eq-earth.com,,https://eq-earth.com/methodologies,Yes,Methodology,PDF-first / document-first,single-method / small-standard manual profile,2,unresolved,Manual PDF extraction for M001 and M002,Low,Low,Annual,No,Yes,Yes,High,"https://docs.eq-earth.com/m001-methodology-for-terrestrial-forest-restoration-v1.2.pdf#:~:text=Summary%20This%20methodology%20sets%20out,as%20monitoring%20and%20reporting%20requirements; ; https://www.eq-earth.com/methodologies#:~:text=Methodologies",Methodologies for terrestrial forest restoration and conservation; serve as supplements to the programme rules.,Wave 2: semi-automate
29,Genesys Reserve,Yes,No,0,Genesys Reserve,https://genesysreserve.org,,https://genesysreserve.org,Partial,Micro-Offset Methodology (MOM),catalog-first HTML,JS-heavy web application,0,unresolved,Monitor for publication of QAVF and MOM methods,Low,Low,Monitor,Unknown,Unknown,Yes,Low,https://www.genesysreserve.org/#:~:text=Practical%20Methodologies,Dynamic carbon registry with planned micro-offset methodologies; not yet publicly available.,Wave 4: unresolved/monitor
30,Global Carbon Council (GCC),Yes,Yes,10,Global Carbon Council,https://globalcarboncouncil.com,,https://globalcarboncouncil.com/en/methodologies,Yes,Methodology,PDF-first / document-first,catalog-first HTML,10,populated,Scrape list of approved methodologies and guidance; parse PDF documents,Medium,Medium,Annual,No,Yes,Yes,High,"https://www.globalcarboncouncil.com/wp-content/uploads/2024/12/GCC-2.0-Standard-for-Development-of-Methodologies_V4.0.pdf#:~:text=1,12www.globalcarboncouncil.com/wp-content/uploads/2024/10/GCCMT001-Methodology-for-project-activities-involving-the-capture-transport-and-geological-storage-of-carbon-dioxide.pdf#:~:text=The%20Global%20Carbon%20Council%20,com%2F%20for%20details",GCC provides baseline and monitoring methodologies for various sectors; uses CDM tools and guidelines.,Wave 1: automate now
31,Global Climate Registry (GCR),Yes,No,0,Global Climate Registry,https://globalclimateregistry.com,,,No,,registry-first / project-derived,registry-first / project-derived,0,unresolved,Not applicable; registry does not provide methodologies,Low,Low,Monitor,Unknown,Unknown,Yes,Low,,Digital registry focusing on MRV and registry services rather than methodologies.,Wave 4: unresolved/monitor
32,Global Heat Reduction (SCS Global Services),Yes,No,0,SCS Global Services / Global Heat Reduction,https://heatreduction.com,,,No,Heatprint / Total Climate Accounting,unclear / manual investigation required,unclear / manual investigation required,0,unresolved,Manual investigation required,Low,Low,Monitor,Unknown,Unknown,Yes,Low,https://heatreduction.com/#:~:text=Slow%20the%20Warming%2C%20Faster,Heatprint is a climate accounting framework; no carbon standard or methodology publicly available.,Wave 4: unresolved/monitor
33,Gold Standard,Yes,Yes,40,Gold Standard Foundation,https://www.goldstandard.org,https://registry.goldstandard.org,https://www.goldstandard.org/our-work/what-we-do/standards-and-methodologies,Partial,Methodology / Module / Tool,JS-heavy web application,JS-heavy web application,40,populated,Use headless browser or API (if available) to list methodologies; parse PDF documents,Medium,High,Quarterly,No,Yes,Yes,Medium,https://globalgoals.goldstandard.org/documents/methodology/#:~:text=Methodology,Dynamic site; some methodology pages return 404; may need manual or API extraction.,Wave 1: automate now
34,Greenhouse Gas Reduction Offset Project (Taiwan),Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
35,Inclusive Carbon Standard,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
36,Indian Carbon Registry,Yes,No,0,,,,,,,,duplicate / naming-cleanup issue,,duplicate-name-risk,Resolve duplicate/alias relationship before ingestion.,Low,Low,,,,Yes,Low,,Name appears to overlap with another programme; normalize before ingestion.,Wave 4: unresolved/monitor
37,International Carbon Registry (ICR),Yes,No,0,Carbon Registry Pte. Ltd. / International Carbon Registry,https://www.carbonregistry.com,https://registry.carbonregistry.com,https://documentation.carbonregistry.com/documentation/icr-program/methodology-development/icr-methodologies,Yes,Methodology,catalog-first HTML,catalog-first HTML,11+,unresolved,"Scrape the ICR methodologies table, capture identifier, title, sector and status, then follow detail links.",High,Medium,Quarterly,No for documentation; registry workflows may require login,Yes,Yes,High,https://documentation.carbonregistry.com/documentation/icr-program/methodology-development/icr-methodologies,"Not populated in workbook, but public methodology catalogue exists; promote to Wave 1 connector candidate.",Wave 1: automate now
38,Isometric,Yes,No,0,Isometric,https://isometric.com,,https://isometric.com/protocols,Yes,Protocol,catalog-first HTML,catalog-first HTML,6,unresolved,Scrape list of protocol families; parse open-source documentation,Medium,Medium,Quarterly,No,Yes,Yes,High,"https://isometric.com/protocols#:~:text=Protocols%20that%20translate%20cutting,fast%2C%20accurate%20certification%20at%20scale; ; https://isometric.com/writing-articles/open-sourcing-cdr-isometric-credit-principles#:~:text=This%20happens%20today%20via%20our,go%20into%20every%20Isometric%20credit","Protocols are grouped by removal technology (Biomass, Enhanced Weathering, Mineralization, DAC, Marine, Biosphere); more are expected.",Wave 2: semi-automate
39,Joint Crediting Mechanism (JCM),Yes,Yes,120,Ministry of the Environment Japan and partner countries,https://www.jcm.go.jp,,https://www.jcm.go.jp/jc/methodologies,Yes,Methodology,catalog-first HTML,catalog-first HTML,120,populated,Scrape search results; export to CSV if available; parse each methodology overview and attachments,High,Medium,Quarterly,No,Yes,Yes,High,https://www.jcm.go.jp/jc/methodologies#:~:text=Methodologies%20Search,Methodologies searchable by host country and sector; includes 122 approved methods.,Wave 1: automate now
40,Mongolian Forest Carbon Program,Yes,No,0,Mongolian Forest Carbon Program,https://www.cccmc.mn,,"Methodology for Afforestation, Reforestation, Agroforestry (ARA) GHG emission reduction and sequestration in Mongolia",Partial,Methodology,PDF-first / document-first,single-method / small-standard manual profile,1,unresolved,Manual retrieval once public,Low,Low,Monitor,No,Unknown,Yes,Low,"https://www.cccmdc.mn/carbon-market#:~:text=%2A%20MFCS%20accepted%20methodologies%20,01",Programme acknowledges an accepted methodology but the document is not publicly available.,Wave 3: manual onboarding
41,Moor Futures,Yes,No,0,MoorFutures,https://www.moorfutures.de,,,No,Methodology,unclear / manual investigation required,single-method / small-standard manual profile,0,unresolved,Manual investigation and contact required,Low,Low,Monitor,Unknown,Unknown,Yes,Low,"https://dn.webdoos.io/planup/7d82255d84f8192a4e85e3b1af00f734.pdf#:~:text=Moor%20Futures%20can%20be%20seen,is%20removed%20from%20the%20atmosphere",Programme for peatland restoration; methodology not publicly accessible in English.,Wave 3: manual onboarding
42,Natural Forest Standard (NFS),Yes,Yes,1,Natural Forest Standard,https://naturalforeststandard.com,,https://naturalforeststandard.com/standard/methods,Yes,Methodology,catalog-first HTML,single-method / small-standard manual profile,1,populated,Manual PDF extraction for NFS AM001,Low,Low,Annual,No,Yes,Yes,High,"https://www.naturalforeststandard.com/nfs-standard/methodology/#:~:text=,the%20regionality%20of%20applicable%20data",Risk-based methodology for natural capital credits; unified baseline approach.,Wave 2: semi-automate
43,NCX (formerly known as SilviaTerre),Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
44,Nori Carbon,Yes,No,0,Nori,https://nori.com,,https://nori.com/policy/croplands-methodology,Yes,Methodology,PDF-first / document-first,single-method / small-standard manual profile,1,unresolved,Manual PDF extraction of the Croplands methodology,Low,Low,Annual,No,Yes,Yes,Medium,https://assets.ctfassets.net/8b5bledpz9uj/1BRUD1uTArQcViKwtyhHM9/71f2470d5191631bd919b09fdd4990b5/Nori_Croplands_Methodology_1.4.pdf,"Croplands methodology defines eligibility, quantification and monitoring; additional methods under development.",Wave 2: semi-automate
45,Open Carbon Protocol,Yes,Yes,1,,,,,Unclear,,,unclear / manual investigation required,1,populated,Validate the workbook MethodUnit against an official Open Carbon Protocol source before automation.,Low,Low,,,,Yes,Low,,"Workbook has one MethodUnit row, but official source evidence needs validation.",Wave 4: unresolved/monitor
46,Open Forest Protocol,Yes,No,0,Open Forest Protocol (OFP),https://openforestprotocol.org,,Open Forest Protocol White Paper (PDF),Partial,Protocol,PDF-first / document-first,single-method / small-standard manual profile,1,unresolved,Manual review of white paper for protocol details,Low,Low,Monitor,No,Yes,Yes,Low,"https://global-uploads.webflow.com/62a6fee36a31c86f8517c893/62d7bbdb296a9c854ddfe0f7_WP%20(Mainnet).pdf#:~:text=With%20temperatures%20predicted%20to%20increase,solution%20with%20a%20considerable%20number",Blockchain-based MRV solution; methodology under development.,Wave 3: manual onboarding
47,OxCarbon,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
48,Peatland Code,Yes,Yes,1,IUCN UK Peatland Programme,https://www.iucn-uk-peatlandprogramme.org,,https://www.iucn-uk-peatlandprogramme.org/peatland-code,Yes,Methodology,PDF-first / document-first,single-method / small-standard manual profile,1,populated,Manual extraction from Peatland Code documentation,Low,Low,Annual,No,Yes,Yes,Medium,,"Peatland Code sets methodology for UK peatland restoration projects; includes eligibility, quantification and monitoring.",Wave 3: manual onboarding
49,Plan Vivo,Yes,Yes,2,Plan Vivo Foundation,https://www.planvivo.org,https://registry.planvivo.org,https://www.planvivo.org/projects/certify-a-project/pvclimate/methodologies/approved-methodologies,Yes,Methodology,PDF-first / document-first,catalog-first HTML,2,populated,Scrape list of approved methodologies; parse PDF documents,Medium,Medium,Annual,No,Yes,Yes,Medium,,"Plan Vivo methodologies include improved cook stoves, sustainable agriculture and forestry; others adopt external methods.",Wave 1: automate now
50,Puro Earth,Yes,Yes,5,Puro.earth,https://puro.earth,https://registry.puro.earth,https://puro.earth/carbon-removal-methods,Yes,Methodology / Carbon Removal Method,catalog-first HTML,catalog-first HTML,5,populated,Scrape list of carbon removal methods; parse PDF method documents,Medium,Medium,Annual,No,Yes,Yes,High,,"Methods include biochar, carbonated building elements, wooden building elements, etc.",Wave 1: automate now
51,Regenerative Agriculture Standard,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
52,Riverse,Yes,Yes,5,Riverse,https://riverse.io,,https://riverse.io/methods,Partial,Method,JS-heavy web application,JS-heavy web application,5,populated,Requires headless browser or API; some details behind login,Medium,Medium,Annual,Yes,Partial,Yes,Low,,"Methods (modules) include battery recycling, solar panel recycling, etc.; dynamic site may require authentication.",Wave 2: semi-automate
53,Rock C-sink,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
54,Russian Carbon Registry (RCR),Yes,Yes,10,Russian Carbon Registry,https://carbon-registry.ru,https://carbon-registry.ru,https://carbon-registry.ru/methodologies,Yes,Methodology,catalog-first HTML,catalog-first HTML,10,populated,Scrape list of methodology names and codes; parse PDF documents (Russian),Medium,Medium,Annual,No,Yes,Yes,Medium,,"Methodologies cover forestry, wetland restoration, renewable energy, etc.; translations may be needed.",Wave 1: automate now
55,Sequdia Carbon,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
56,Social Carbon,Yes,Yes,9,Social Carbon Foundation,https://socialcarbon.org,,https://www.socialcarbon.org/methodologies,Yes,Methodology,PDF-first / document-first,adopted-external-method source,9,populated,Map accepted methodologies to their underlying external standards and avoid duplicating CDM/external MethodUnits.,Medium,Medium,Annual,No,Yes,Yes,Medium,,Methodologies may point to CDM or other external standards; use pointer records rather than duplicate MethodUnits.,Wave 2: semi-automate
57,Sri Lanka Climate Fund,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
58,Thailand Voluntary Emission Reduction Program (TVER),Yes,Yes,9,Thailand Greenhouse Gas Management Organization (TGO),https://ghg.tgo.or.th,,https://ghg.tgo.or.th/english/tver_method,Yes,Methodology,catalog-first HTML,catalog-first HTML,9,populated,Scrape list of methodologies (in Thai); parse PDF documents,Medium,Medium,Annual,No,Yes,Yes,Medium,,"Methods include renewable energy, waste management, forestry, etc.; translation may be needed.",Wave 1: automate now
59,Transparency and Equitable Resource Offset (TERO),Yes,Yes,5,TERO,,,,No,,unclear / manual investigation required,unclear / manual investigation required,5,populated,Manual investigation required to identify methods or guidelines,Low,Low,Monitor,Unknown,Unknown,Yes,Low,,Little information is available; methodology documents may not be public.,Wave 4: unresolved/monitor
60,Verified Carbon Standard (Verra),Yes,Yes,40,Verra,https://verra.org,https://registry.verra.org,https://verra.org/methodologies,Yes,Methodology / Module / Tool,catalog-first HTML,JS-heavy web application,40,populated,Scrape methodology list (including pipeline and approved); parse PDFs; monitor updates,High,High,Quarterly,No,Yes,Yes,High,,"Includes VCS methodologies, modules, tools, and JNR/SD VISta methods; dynamic site may require headless browser.",Wave 1: automate now
61,Wilder Carbon,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
